Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-15,100444.0,102114.0,100444.0,101791.0,9285600,0,0
2020-07-16,101791.0,101792.0,100160.0,100553.0,8127100,0,0
2020-07-17,100554.0,103017.0,100554.0,102888.0,10429400,0,0
2020-07-20,102888.0,104439.0,102744.0,104426.0,8931800,0,0
2020-07-21,104426.0,105449.0,103732.0,104310.0,11105800,0,0
2020-07-22,104312.0,104980.0,103277.0,104290.0,10833700,0,0
2020-07-23,104291.0,104949.0,102119.0,102293.0,10366600,0,0
2020-07-24,102292.0,102694.0,100859.0,102382.0,9795200,0,0
2020-07-27,102381.0,104585.0,102381.0,104477.0,9622400,0,0
2020-07-28,104477.0,104663.0,103592.0,104109.0,9087100,0,0
2020-07-29,104112.0,105704.0,104112.0,105605.0,9238300,0,0
2020-07-30,105605.0,105607.0,103920.0,105009.0,9591700,0,0
2020-07-31,105010.0,105462.0,102642.0,102912.0,12929300,0,0
2020-08-03,102913.0,103863.0,102304.0,102830.0,10901000,0,0
2020-08-04,102826.0,103012.0,100005.0,101216.0,12029800,0,0
2020-08-05,101220.0,103763.0,101220.0,102802.0,10922100,0,0
2020-08-06,102733.0,104523.0,102733.0,104126.0,9686600,0,0
2020-08-07,104116.0,104126.0,101957.0,102776.0,10337100,0,0
2020-08-10,102776.0,103722.0,101282.0,103444.0,8259500,0,0
2020-08-11,103449.0,104409.0,102174.0,102174.0,9360900,0,0
2020-08-12,102176.0,103116.0,100698.0,102118.0,10114200,0,0
2020-08-13,102118.0,103237.0,100187.0,100461.0,10721300,0,0
2020-08-14,100469.0,101717.0,100445.0,101353.0,8576300,0,0
2020-08-17,101348.0,101689.0,98513.0,99595.0,10816200,0,0
2020-08-18,99597.0,102247.0,99597.0,102065.0,9418700,0,0
